Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,PROKKA_Fusobacterium_necrophorum_BL.fna,PROKKA_Fusobacterium_necrophorum_D12.fna,PROKKA_Fusobacterium_necrophorum_DJ-1.fna,PROKKA_Fusobacterium_necrophorum_DJ-2.fna,PROKKA_Fusobacterium_necrophorum_isolate_MGYG-HGUT-02362.fna,PROKKA_Fusobacterium_necrophorum_strain_ATCC_25286.fna,PROKKA_Fusobacterium_necrophorum_strain_FDAARGOS_565.fna,PROKKA_Fusobacterium_necrophorum_strain_KG34.fna,PROKKA_Fusobacterium_necrophorum_strain_KG35.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_ATCC_51357.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_B35_FNF_B35.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_Fnf_1007.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_1_1.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_CCUG_42162.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1248.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1250.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1260.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1267.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1285.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1291.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1309.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1314_102.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1330.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1351_200.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1353.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1365.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1195_338.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1197.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1260.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1264.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1266.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1272_324.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1291.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_P1_CP.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_P1_LM.fna,PROKKA_Fusobacterium_necrophorum_subsp._necrophorum_strain_ATCC_25286.fna,PROKKA_usobacterium_necrophorum_BFTR-1.fna,PROKKA_usobacterium_necrophorum_BFTR-2.fna,PROKKA_usobacterium_necrophorum_DAB.fna,PROKKA_usobacterium_necrophorum_HUN048_T527.fna,PROKKA_usobacterium_necrophorum_subsp._funduliforme_B35.fna,PROKKA_usobacterium_necrophorum_subsp._funduliforme_strain_LS_1280.fna
group_3950,,hypothetical protein,1,1,1,56,4713,293,1,,431,431,431,,,,,,JINGLCIG_01098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_3951,,hypothetical protein,1,1,1,71,1,264,1,Investigate,1112,1112,1112,,,,,,JINGLCIG_01361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_3953,,hypothetical protein,1,1,1,66,1,267,1,Investigate,395,395,395,,,,,,JINGLCIG_01822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_397,murJ_2,putative lipid II flippase MurJ,1,1,1,56,4560,343,1,,335,335,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBLJPCAA_00918,
group_3988,,hypothetical protein,1,1,1,56,3255,2,37,,446,446,446,,,,,,,ADPOPIFB_00533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_3989,,hypothetical protein,1,1,1,56,3620,1,324,,575,575,575,,,,,,,ADPOPIFB_00906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_3990,,hypothetical protein,1,1,1,56,3654,11,7,,575,575,575,,,,,,,ADPOPIFB_01042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_3992,,hypothetical protein,1,1,1,56,6033,1,2294,,1022,1022,1022,,,,,,,,NJBJJNNI_00137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_3994,ata_1,Adhesin Ata autotransporter,1,1,1,56,4595,1,3016,,3266,3266,3266,,,,,,,,NJBJJNNI_00169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_3995,,hypothetical protein,1,1,1,56,1964,1,1539,,764,764,764,,,,,,,,NJBJJNNI_00200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_3996,,hypothetical protein,1,1,1,56,1965,1,1540,,158,158,158,,,,,,,,NJBJJNNI_00201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_3997,,hypothetical protein,1,1,1,56,1958,1,1538,,980,980,980,,,,,,,,NJBJJNNI_00206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_3998,,hypothetical protein,1,1,1,56,5294,1,1588,,635,635,635,,,,,,,,NJBJJNNI_00216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_3999,,hypothetical protein,1,1,1,56,5295,1,1589,,233,233,233,,,,,,,,NJBJJNNI_00217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4,,hypothetical protein,1,1,1,56,5968,1,2297,,329,329,329,,,,,,,,,,,,,,,,,,,,PIKLICFD_01495,,,,,,,,,,,,,,,,,,,,,,
group_4000,,hypothetical protein,1,1,1,56,5296,1,1590,,188,188,188,,,,,,,,NJBJJNNI_00218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4001,,hypothetical protein,1,1,1,56,5297,1,1591,,215,215,215,,,,,,,,NJBJJNNI_00219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4002,,hypothetical protein,1,1,1,56,5298,1,1592,,164,164,164,,,,,,,,NJBJJNNI_00220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4003,,hypothetical protein,1,1,1,56,5299,1,1593,,194,194,194,,,,,,,,NJBJJNNI_00221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4004,dnaC_1,Replicative DNA helicase,1,1,1,56,5305,1,1603,,1208,1208,1208,,,,,,,,NJBJJNNI_00226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4006,,hypothetical protein,1,1,1,56,5390,1,787,,173,173,173,,,,,,,,NJBJJNNI_00237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4007,,hypothetical protein,1,1,1,56,5389,1,786,,656,656,656,,,,,,,,NJBJJNNI_00238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4008,,hypothetical protein,1,1,1,56,5388,1,768,,176,176,176,,,,,,,,NJBJJNNI_00239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4010,,hypothetical protein,1,1,1,56,5348,1,3172,,476,476,476,,,,,,,,NJBJJNNI_00244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4011,,hypothetical protein,1,1,1,56,5347,1,3173,,251,251,251,,,,,,,,NJBJJNNI_00245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4012,,hypothetical protein,1,1,1,56,5346,1,3174,,209,209,209,,,,,,,,NJBJJNNI_00246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4013,,hypothetical protein,1,1,1,56,5345,1,3175,,383,383,383,,,,,,,,NJBJJNNI_00247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4014,,hypothetical protein,1,1,1,56,5343,1,737,,272,272,272,,,,,,,,NJBJJNNI_00249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4015,,hypothetical protein,1,1,1,56,5342,1,736,,515,515,515,,,,,,,,NJBJJNNI_00250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4016,,hypothetical protein,1,1,1,56,5341,1,735,,161,161,161,,,,,,,,NJBJJNNI_00251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4017,,hypothetical protein,1,1,1,56,5340,1,734,,173,173,173,,,,,,,,NJBJJNNI_00252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4018,,hypothetical protein,1,1,1,56,5339,1,733,,284,284,284,,,,,,,,NJBJJNNI_00253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4019,,hypothetical protein,1,1,1,56,5338,1,732,,683,683,683,,,,,,,,NJBJJNNI_00254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recD,,RecBCD enzyme subunit RecD,1,1,1,56,5494,1,1480,,2732,2732,2732,,,,,,,,NJBJJNNI_00271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4024,,hypothetical protein,1,1,1,56,3533,1,1020,,524,524,524,,,,,,,,NJBJJNNI_00375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4025,,hypothetical protein,1,1,1,56,3532,1,1021,,371,371,371,,,,,,,,NJBJJNNI_00376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4026,,hypothetical protein,1,1,1,56,3531,1,1022,,653,653,653,,,,,,,,NJBJJNNI_00377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4027,,hypothetical protein,1,1,1,56,3530,1,1023,,233,233,233,,,,,,,,NJBJJNNI_00378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4028,,hypothetical protein,1,1,1,56,3529,1,1024,,308,308,308,,,,,,,,NJBJJNNI_00380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4029,,hypothetical protein,1,1,1,56,3528,1,1025,,665,665,665,,,,,,,,NJBJJNNI_00382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4031,,hypothetical protein,1,1,1,56,4087,1,943,,1178,1178,1178,,,,,,,,NJBJJNNI_00385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4032,,hypothetical protein,1,1,1,56,4088,1,942,,899,899,899,,,,,,,,NJBJJNNI_00386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4033,,hypothetical protein,1,1,1,56,4089,1,941,,242,242,242,,,,,,,,NJBJJNNI_00387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4036,,hypothetical protein,1,1,1,56,3509,1,863,,266,266,266,,,,,,,,NJBJJNNI_00393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4037,,hypothetical protein,1,1,1,56,3510,1,862,,200,200,200,,,,,,,,NJBJJNNI_00394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4038,lexA_1,LexA repressor,1,1,1,56,3511,1,933,,677,677,677,,,,,,,,NJBJJNNI_00396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_404,,hypothetical protein,1,1,1,56,1972,1,1543,,578,578,578,,,,,,,,,,,,,,,,,,,,,,,,,,,IPMILDJG_02005,,,,,,,,,,,,,,,
group_405,,hypothetical protein,1,1,1,56,2777,1,3203,,578,578,578,,,,,,,,,,,,,,,,,,,,,,,,,,,IPMILDJG_02017,,,,,,,,,,,,,,,
group_406,,hypothetical protein,1,1,1,56,2750,1,3193,,578,578,578,,,,,,,,,,,,,,,,,,,,,,,,,,LJEDAGOM_00302,,,,,,,,,,,,,,,,
group_4064,,hypothetical protein,1,1,1,56,4126,1,900,,1331,1331,1331,,,,,,,,NJBJJNNI_00428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4065,,hypothetical protein,1,1,1,56,4127,1,899,,701,701,701,,,,,,,,NJBJJNNI_00429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4067,,hypothetical protein,1,1,1,56,4132,1,881,,233,233,233,,,,,,,,NJBJJNNI_00434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4068,upaG_1,Autotransporter adhesin UpaG,1,1,1,56,2393,1,438,,6986,6986,6986,,,,,,,,NJBJJNNI_00507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4069,,hypothetical protein,1,1,1,56,3737,31,11,,608,608,608,,,,,,,,NJBJJNNI_00887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4074,,hypothetical protein,1,1,1,98,2,567,2,Investigate,458,458,458,,,,,,,,NJBJJNNI_01148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pfeA_3,,Ferric enterobactin receptor,1,1,1,56,300,1,3563,,3140,3140,3140,,,,,,,,NJBJJNNI_01226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4078,,hypothetical protein,1,1,1,100,1,565,1,Investigate,128,128,128,,,,,,,,NJBJJNNI_01287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crhR,,RNA helicase CrhR,1,1,1,56,5768,445,3,,3194,3194,3194,,,,,,,,NJBJJNNI_01290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paeR7IM,,Modification methylase PaeR7I,1,1,1,56,5769,445,2,,3569,3569,3569,,,,,,,,NJBJJNNI_01291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4081,,hypothetical protein,1,1,1,56,5671,1,53,,437,437,437,,,,,,,,NJBJJNNI_01352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4082,xis,ICEBs1 excisionase,1,1,1,56,5670,1,54,,194,194,194,,,,,,,,NJBJJNNI_01353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4083,,Putative prophage phiRv2 integrase,1,1,1,56,5669,1,55,,944,944,944,,,,,,,,NJBJJNNI_01354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4084,,hypothetical protein,1,1,1,56,5668,1,56,,365,365,365,,,,,,,,NJBJJNNI_01355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4085,,hypothetical protein,1,1,1,56,5667,1,57,,947,947,947,,,,,,,,NJBJJNNI_01356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4086,,hypothetical protein,1,1,1,56,5666,1,58,,989,989,989,,,,,,,,NJBJJNNI_01357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4087,,hypothetical protein,1,1,1,56,5665,1,59,,416,416,416,,,,,,,,NJBJJNNI_01358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4088,,hypothetical protein,1,1,1,56,1580,1,60,,1418,1418,1418,,,,,,,,NJBJJNNI_01359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4089,,hypothetical protein,1,1,1,56,1581,1,61,,200,200,200,,,,,,,,NJBJJNNI_01360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4090,,hypothetical protein,1,1,1,56,1582,1,62,,893,893,893,,,,,,,,NJBJJNNI_01361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4091,,putative type I restriction enzymeP M protein,1,1,1,56,1583,1,63,,1586,1586,1586,,,,,,,,NJBJJNNI_01362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4092,,hypothetical protein,1,1,1,56,1584,1,64,,1115,1115,1115,,,,,,,,NJBJJNNI_01363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4093,hsdR,Type-1 restriction enzyme R protein,1,1,1,56,1585,1,65,,3158,3158,3158,,,,,,,,NJBJJNNI_01364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4095,,hypothetical protein,1,1,1,56,2931,1,3435,,338,338,338,,,,,,,,NJBJJNNI_01386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4096,,hypothetical protein,1,1,1,56,2930,1,3399,,458,458,458,,,,,,,,NJBJJNNI_01387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4097,,hypothetical protein,1,1,1,56,2926,1,3398,,239,239,239,,,,,,,,NJBJJNNI_01389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4099,,hypothetical protein,1,1,1,56,2935,1,3395,,617,617,617,,,,,,,,NJBJJNNI_01391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4100,,hypothetical protein,1,1,1,56,2881,1,68,,152,152,152,,,,,,,,NJBJJNNI_01402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4103,,hypothetical protein,1,1,1,56,2813,1,91,,242,242,242,,,,,,,,NJBJJNNI_01411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4104,,hypothetical protein,1,1,1,56,1604,1,3514,,617,617,617,,,,,,,,NJBJJNNI_01420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4105,,hypothetical protein,1,1,1,56,1603,1,3515,,251,251,251,,,,,,,,NJBJJNNI_01421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rplW_2,,50S ribosomal protein L23,1,1,1,99,1,566,1,Investigate,293,293,293,,,,,,,,NJBJJNNI_01429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4110,,hypothetical protein,1,1,1,56,4269,2,51,,764,764,764,,,,,,,,NJBJJNNI_01487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4111,,hypothetical protein,1,1,1,56,3288,1,2462,,1163,1163,1163,,,,,,,,NJBJJNNI_01503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4113,upaG_2,Autotransporter adhesin UpaG,1,1,1,56,1343,1,2478,,3680,3680,3680,,,,,,,,NJBJJNNI_01837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4116,,hypothetical protein,1,1,1,56,2758,1,3227,,2735,2735,2735,,,,,,,,NJBJJNNI_01897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4117,,hypothetical protein,1,1,1,56,2759,1,3228,,638,638,638,,,,,,,,NJBJJNNI_01898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4120,,hypothetical protein,1,1,1,56,1868,1,3249,,392,392,392,,,,,,,,NJBJJNNI_01905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4121,,hypothetical protein,1,1,1,56,5159,1,1654,,1031,1031,1031,,,,,,,,NJBJJNNI_01929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4123,dnaJ_1,Chaperone protein DnaJ,1,1,1,56,3305,430,1,,545,545,545,,,,,,,,,DJMJFLHK_00010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4124,,hypothetical protein,1,1,1,56,4158,421,1,,1151,1151,1151,,,,,,,,,DJMJFLHK_00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4125,,hypothetical protein,1,1,1,56,4167,429,1,,1100,1100,1100,,,,,,,,,DJMJFLHK_00022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4126,,hypothetical protein,1,1,1,56,3299,408,1,,581,581,581,,,,,,,,,DJMJFLHK_00030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4127,gpmI,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",1,1,1,56,3298,403,1,,1520,1520,1520,,,,,,,,,DJMJFLHK_00032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4128,rne,Ribonuclease E,1,1,1,56,4196,425,1,,1277,1277,1277,,,,,,,,,DJMJFLHK_00045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_413,rlmCD,23S rRNA (uracil-C(5))-methyltransferase RlmCD,1,1,1,56,918,1,1965,,1157,1157,1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JNMNFCGE_01914,,,,
group_4130,,hypothetical protein,1,1,1,56,3292,1,2461,,1163,1163,1163,,,,,,,,,DJMJFLHK_00069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4131,,hypothetical protein,1,1,1,56,4237,1,2457,,1127,1127,1127,,,,,,,,,DJMJFLHK_00071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4133,,hypothetical protein,1,1,1,56,3278,443,1,,245,245,245,,,,,,,,,DJMJFLHK_00076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4134,,hypothetical protein,1,1,1,56,4258,2,46,,764,764,764,,,,,,,,,DJMJFLHK_00083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4135,,hypothetical protein,1,1,1,56,4995,431,1,,959,959,959,,,,,,,,,DJMJFLHK_00111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4136,,putative peptidase,1,1,1,56,5555,428,1,,1760,1760,1760,,,,,,,,,DJMJFLHK_00118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4137,yeeO_1,putative FMN/FAD exporter YeeO,1,1,1,56,5001,435,1,,1343,1343,1343,,,,,,,,,DJMJFLHK_00124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4138,yciV,5'-3' exoribonuclease,1,1,1,56,5002,438,1,,818,818,818,,,,,,,,,DJMJFLHK_00127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4139,mnmA_1,tRNA-specific 2-thiouridylase MnmA,1,1,1,56,5005,14,10,,1037,1037,1037,,,,,,,,,DJMJFLHK_00131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_414,,hypothetical protein,1,1,1,56,3940,5,22,,254,254,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBLJPCAA_02137,
group_4140,epsJ,putative glycosyltransferase EpsJ,1,1,1,56,3259,2,62,,950,950,950,,,,,,,,,DJMJFLHK_00158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4141,,hypothetical protein,1,1,1,56,3237,94,4,,476,476,476,,,,,,,,,DJMJFLHK_00166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4142,,hypothetical protein,1,1,1,56,3236,13,5,,362,362,362,,,,,,,,,DJMJFLHK_00169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4143,,hypothetical protein,1,1,1,56,3235,13,6,,242,242,242,,,,,,,,,DJMJFLHK_00170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4144,,hypothetical protein,1,1,1,56,4340,13,4,,674,674,674,,,,,,,,,DJMJFLHK_00172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4145,,hypothetical protein,1,1,1,56,4339,13,3,,317,317,317,,,,,,,,,DJMJFLHK_00173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4146,,hypothetical protein,1,1,1,56,3231,407,1,,125,125,125,,,,,,,,,DJMJFLHK_00181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4147,,hypothetical protein,1,1,1,56,4432,437,1,,662,662,662,,,,,,,,,DJMJFLHK_00193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4148,,hypothetical protein,1,1,1,56,3202,412,1,,854,854,854,,,,,,,,,DJMJFLHK_00199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abgB,,p-aminobenzoyl-glutamate hydrolase subunit B,1,1,1,56,3201,384,1,,1163,1163,1163,,,,,,,,,DJMJFLHK_00207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4150,,hypothetical protein,1,1,1,56,3200,384,2,,1391,1391,1391,,,,,,,,,DJMJFLHK_00208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
murR_1,,HTH-type transcriptional regulator MurR,1,1,1,56,3199,384,3,,830,830,830,,,,,,,,,DJMJFLHK_00209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4152,oppF_1,Oligopeptide transport ATP-binding protein OppF,1,1,1,56,4455,48,9,,782,782,782,,,,,,,,,DJMJFLHK_00214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4154,,hypothetical protein,1,1,1,56,3196,1,193,,887,887,887,,,,,,,,,DJMJFLHK_00219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immR,,HTH-type transcriptional regulator ImmR,1,1,1,56,3171,1,208,,476,476,476,,,,,,,,,DJMJFLHK_00221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4156,,hypothetical protein,1,1,1,56,3172,1,209,,191,191,191,,,,,,,,,DJMJFLHK_00222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4157,,hypothetical protein,1,1,1,56,3173,1,210,,182,182,182,,,,,,,,,DJMJFLHK_00223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4158,,hypothetical protein,1,1,1,56,3174,1,211,,320,320,320,,,,,,,,,DJMJFLHK_00224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_416,,hypothetical protein,1,1,1,56,3939,5,27,,686,686,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBLJPCAA_02136,
group_4160,,hypothetical protein,1,1,1,56,1633,1,215,,677,677,677,,,,,,,,,DJMJFLHK_00227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4161,,hypothetical protein,1,1,1,56,1634,1,216,,197,197,197,,,,,,,,,DJMJFLHK_00228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4162,,hypothetical protein,1,1,1,56,1635,1,217,,200,200,200,,,,,,,,,DJMJFLHK_00229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4167,,hypothetical protein,1,1,1,56,3819,1,989,,701,701,701,,,,,,,,,DJMJFLHK_00237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4168,yutF,Acid sugar phosphatase,1,1,1,56,3619,413,1,,791,791,791,,,,,,,,,DJMJFLHK_00248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4169,alr1_1,Alanine racemase 1,1,1,1,56,3910,397,2,,1064,1064,1064,,,,,,,,,DJMJFLHK_00279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4170,rlmI,Ribosomal RNA large subunit methyltransferase I,1,1,1,56,3605,397,1,,1181,1181,1181,,,,,,,,,DJMJFLHK_00280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4171,recO,DNA repair protein RecO,1,1,1,56,6195,410,1,,659,659,659,,,,,,,,,DJMJFLHK_00309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
